taluka_code,district_code,division_code,state_code,taluka_name,taluka_name_ll
4273,492,01,27,Lanja,लांजा
4226,481,04,27,Latur,लातूर
4107,485,04,27,Loha,लोहा
4242,488,04,27,Lohara,लोहारा
3987,472,05,27,Lonar,लोणार
4245,496,02,27,Madha,माढा
4255,494,02,27,Mahabaleshwar,महाबळेश्वर
4185,491,01,27,Mahad,महाड
4087,500,05,27,Mahagaon,महागाव
4095,485,04,27,Mahur,माहूर
4219,470,06,27,Majalgaon,माजलगाव
3995,499,05,27,Malegaon,मालेगाव
4146,487,03,27,Malegaon,मालेगाव
3979,472,05,27,Malkapur,मलकापूर
4250,496,02,27,Malshiras,माळशिरस
4278,495,01,27,Malwan,मालवण
4259,494,02,27,Man,माण
4266,492,01,27,Mandangad,मंडणगड
4252,496,02,27,Mangalvedhe,मंगळवेढे
4181,491,01,27,Mangaon,मानगाव
3996,499,05,27,Mangrulpir,मंगरूळपीर
3998,499,05,27,Manora,मानोरा
4132,479,04,27,Mantha,मंठा
4119,489,04,27,Manwath,मानवत
4092,500,05,27,Maregaon,मारेगाव
4029,484,06,27,Mauda,मौदा
4191,490,02,27,Mawal,मावळ
3982,472,05,27,Mehkar,मेहकर
4184,491,01,27,Mhasla,म्हासळा
4302,493,02,27,Miraj,मिरज
4038,471,06,27,Mohadi,मोहाडी
4248,496,02,27,Mohol,मोहोळ
4161,665,01,27,Mokhada,मोखाडा
4006,468,05,27,Morshi,मोर्शी
3980,472,05,27,Motala,मोताळा
4101,485,04,27,Mudkhed,मुदखेड
4109,485,04,27,Mukhed,मुखेड
3963,478,03,27,Muktainagar (Edlabad),मुक्ताईनगर(एदलाबाद)
4072,473,06,27,Mul,मुल
4059,475,06,27,Mulchera,मुलचेरा 
4192,490,02,27,Mulshi,मुळशी
4171,497,01,27,Murbad,मुरबाड
3992,467,05,27,Murtijapur,मुर्तिजापूर
4178,491,01,27,Murud,मुरूड
4209,466,03,27,Nagar,नगर
4066,473,06,27,Nagbhid,नागभिड
4031,484,06,27,Nagpur (Rural),नागपूर (ग्रामीण)
4032,484,06,27,Nagpur (Urban),नागपूर (शहर)
4106,485,04,27,Naigaon (Khairgaon),नायगाव (खैरगाव)
4100,485,04,27,Nanded,नांदेड
4147,487,03,27,Nandgaon,नांदगाव
4012,468,05,27,Nandgaon-Khandeshwar,नांदगाव खंडेश्वर
3978,472,05,27,Nandura,नांदुरा
3954,486,03,27,Nandurbar,नंदूरबार
4023,484,06,27,Narkhed,नरखेड
4152,487,03,27,Nashik,नाशिक
3955,486,03,27,Nawapur,नवापूर
4079,500,05,27,Ner,नेर
4206,466,03,27,Nevasa,नेवासा
4233,481,04,27,Nilanga,निलंगा
4155,487,03,27,Niphad,निफाड
4243,488,04,27,Omarga,उमरगा
3973,478,03,27,Pachora,पाचोरा
4141,469,04,27,Paithan,पैठण
4123,489,04,27,Palam,पालम
4163,665,01,27,Palghar,पालघर
4297,493,02,27,Palus,पलुस
4249,496,02,27,Pandharpur,पंढरपूर
4284,480,02,27,Panhala,पन्हाळा
4173,491,01,27,Panvel,पनवेल
4236,488,04,27,Paranda,परंडा
4118,489,04,27,Parbhani,परभणी
4224,470,06,27,Parli,परळी
4211,466,03,27,Parner,पारनेर
3970,478,03,27,Parola,पारोळा
4027,484,06,27,Parseoni,पारशिवनी
4131,479,04,27,Partur,परतूर
4264,494,02,27,Patan,पाटण
4208,466,03,27,Pathardi,पाथर्डी
4120,489,04,27,Pathri,पाथ्री
4216,470,06,27,Patoda,पाटोदा
3993,467,05,27,Patur,पातूर
4042,471,06,27,Pauni,पवनी
4176,491,01,27,Pen,पेण
4150,487,03,27,Peth,पेठ
4258,494,02,27,Phaltan,फलटण
4136,469,04,27,Phulambri,फुलंब्री
4186,491,01,27,Poladpur,पोलादपूर
4073,473,06,27,Pombhurna,पोम्भूर्णा
4194,490,02,27,Pune City,पुणे शहर
